collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,original.genus_reso,original.genus_name,collection.reference_no,10_my_bin
14526,Fossilworks,"J. Alroy",,Tyrannosaurus,,,6201,"Cretaceous 8"
14527,Fossilworks,"J. Alroy",,Aublysodon,,Aublysodon,1239,"Cretaceous 8"
14527,Fossilworks,"J. Alroy",cf.,Triceratops,,,1239,"Cretaceous 8"
14527,Fossilworks,"J. Alroy",cf.,Edmontosaurus,cf.,Anatosaurus,1239,"Cretaceous 8"
14533,Fossilworks,"J. Alroy",,Paronychodon,,Paronychodon,960,"Cretaceous 8"
14533,Fossilworks,"J. Alroy",,Chirostenotes,,,960,"Cretaceous 8"
14534,Fossilworks,"J. Alroy",,Ankylosaurus,,,960,"Cretaceous 8"
14534,Fossilworks,"J. Alroy",cf.,Paronychodon,cf.,Paronychodon,960,"Cretaceous 8"
14534,Fossilworks,"J. Alroy",,Chirostenotes,,,960,"Cretaceous 8"
14535,Fossilworks,"J. Alroy",cf.,Richardoestesia,,,960,"Cretaceous 8"
14535,Fossilworks,"J. Alroy",,Thescelosaurus,,,960,"Cretaceous 8"
14535,Fossilworks,"J. Alroy",,Chirostenotes,,,960,"Cretaceous 8"
14536,Fossilworks,"J. Alroy",,Chirostenotes,,,960,"Cretaceous 8"
14536,Fossilworks,"J. Alroy",,Richardoestesia,,,960,"Cretaceous 8"
14538,Fossilworks,"J. Alroy",cf.,Triceratops,,,1239,"Cretaceous 8"
14538,Fossilworks,"J. Alroy",cf.,Tyrannosaurus,,,1239,"Cretaceous 8"
14538,Fossilworks,"J. Alroy",cf.,Ornithomimus,,,1239,"Cretaceous 8"
14540,Fossilworks,"J. Alroy",,Paronychodon,,Paronychodon,1419,"Cretaceous 8"
14540,Fossilworks,"J. Alroy",,Richardoestesia,,,1419,"Cretaceous 8"
14540,Fossilworks,"J. Alroy",,Aublysodon,,Aublysodon,1419,"Cretaceous 8"
14540,Fossilworks,"J. Alroy",,Saurornitholestes,,,1419,"Cretaceous 8"
14541,Fossilworks,"J. Alroy",,Ankylosaurus,,,1419,"Cretaceous 8"
14541,Fossilworks,"J. Alroy",,Saurornitholestes,,,1419,"Cretaceous 8"
14542,Fossilworks,"J. Alroy",,Edmontonia,,,1419,"Cretaceous 8"
14542,Fossilworks,"J. Alroy",,Aublysodon,,Aublysodon,1419,"Cretaceous 8"
14542,Fossilworks,"J. Alroy",,Ornithomimus,,,1419,"Cretaceous 8"
14542,Fossilworks,"J. Alroy",,Troodon,,,1419,"Cretaceous 8"
14542,Fossilworks,"J. Alroy",,Saurornitholestes,,,1419,"Cretaceous 8"
14543,Fossilworks,"J. Alroy",,Richardoestesia,,,1419,"Cretaceous 8"
14543,Fossilworks,"J. Alroy",,Aublysodon,,Aublysodon,1419,"Cretaceous 8"
14543,Fossilworks,"J. Alroy",,Saurornitholestes,,,1419,"Cretaceous 8"
14543,Fossilworks,"J. Alroy",,Troodon,,,1419,"Cretaceous 8"
14543,Fossilworks,"J. Alroy",,Dromaeosaurus,,,1419,"Cretaceous 8"
14544,Fossilworks,"J. Alroy",,Ankylosaurus,,,1419,"Cretaceous 8"
14544,Fossilworks,"J. Alroy",,Stygimoloch,,,1419,"Cretaceous 8"
